timestamp,heart_rate_mean,heart_rate_std,heart_rate_max,steps_total,cumulative_steps_max,spo2_mean,spo2_min,sleeping_users_count,sleep_quality_mean,active_users_count,pm25,pm10,aqi,co2,temperature,humidity,wind_speed,pressure,precipitation,rainfall,location,hour,day_of_week,month,is_weekend,aqi_category,temp_category,high_heart_rate,low_spo2,high_pollution,health_risk,risk_category
2025-10-22 02:20:53.751808,57.233,7.716099593012841,83.0,1031,19,98.008,92.5,100,75.612,100,35.42,49.93,100.1,409.7,14.3,83.1,11.5,1036.1,1,0.42,hospital_A,2,2,10,0,Sensitive,Mild,0,0,1,0,Low
2025-10-22 03:20:53.751808,57.168,7.048803609353315,77.6,1041,31,97.88,92.2,100,74.161,100,36.79,51.68,103.5,413.5,18.4,85.6,8.2,1021.39,1,0.51,hospital_A,3,2,10,0,Sensitive,Mild,0,0,1,0,Low
2025-10-22 04:20:53.751808,57.99100000000001,7.798213923972615,82.3,934,45,98.022,93.0,100,74.885,100,33.12,47.63,95.1,409.1,17.8,72.5,4.4,1004.82,0,0.0,hospital_A,4,2,10,0,Moderate,Mild,0,0,0,0,Low
2025-10-22 05:20:53.751808,57.063,7.838620459434855,85.3,985,61,98.088,93.4,100,73.02600000000001,100,42.0,57.87,116.5,413.4,18.5,78.0,7.5,981.16,0,0.0,hospital_A,5,2,10,0,Sensitive,Mild,0,0,1,0,Low
2025-10-22 06:20:53.751808,57.184,7.642765378203272,79.8,52484,874,97.948,93.7,100,72.665,100,32.43,46.96,93.7,410.4,21.5,73.1,8.0,1014.91,0,0.0,hospital_A,6,2,10,0,Moderate,Warm,0,0,0,0,Low
2025-10-22 07:20:53.751808,81.82600000000001,11.762632324098178,105.6,52103,1709,97.811,92.9,0,0.0,100,46.73,67.66,128.3,411.6,21.8,69.8,10.5,1003.72,0,0.0,hospital_A,7,2,10,0,Sensitive,Warm,0,0,1,0,Low
2025-10-22 08:20:53.751808,79.937,10.925899680959176,110.1,52590,2553,97.905,94.0,0,0.0,100,51.09,72.52,139.2,408.6,24.2,58.6,12.1,994.94,0,0.0,hospital_A,8,2,10,0,Sensitive,Warm,0,0,1,0,Low
2025-10-22 09:20:53.751808,80.366,11.60020219259522,111.2,52356,3408,98.0,93.6,0,0.0,100,36.94,56.14,103.9,409.2,30.6,66.7,10.3,1026.48,0,0.0,hospital_A,9,2,10,0,Sensitive,Hot,0,0,1,0,Low
2025-10-22 10:20:53.751808,81.462,11.608485054154364,106.1,52462,4192,97.829,94.7,0,0.0,100,34.58,51.07,98.2,410.4,25.1,61.9,11.2,1002.45,0,0.0,hospital_A,10,2,10,0,Moderate,Warm,0,0,0,0,Low
2025-10-22 11:20:53.751808,84.846,13.50302188400804,118.5,52751,5037,97.904,93.0,0,0.0,100,34.25,50.43,97.5,407.0,22.4,60.4,12.2,1015.27,0,0.0,hospital_A,11,2,10,0,Moderate,Warm,0,0,0,0,Low
2025-10-22 12:20:53.751808,84.823,13.537362103721414,121.7,52396,5867,97.981,94.3,0,0.0,100,46.96,64.67,128.9,412.3,22.9,57.6,18.7,1027.22,0,0.0,hospital_A,12,2,10,0,Sensitive,Warm,0,0,1,0,Low
2025-10-22 13:20:53.751808,84.82799999999999,16.767917177295647,118.2,52277,6656,97.853,92.0,0,0.0,100,37.89,54.02,106.2,407.6,22.6,51.6,11.1,1029.74,1,0.93,hospital_A,13,2,10,0,Sensitive,Warm,0,0,1,0,Low
2025-10-22 14:20:53.751808,83.89299999999999,14.861272665977344,116.7,52713,7488,97.815,92.2,0,0.0,100,33.43,48.66,95.8,409.8,23.7,49.7,18.1,1017.7,0,0.0,hospital_A,14,2,10,0,Moderate,Warm,0,0,0,0,Low
