timestamp,location,pm25,pm10,aqi,co2
2025-10-22 02:20:53.751808,hospital_C,25.83,42.14,79.6,407.2
2025-10-22 03:20:53.751808,hospital_C,40.17,58.94,111.9,414.3
2025-10-22 04:20:53.751808,hospital_C,41.67,60.86,115.7,412.5
2025-10-22 05:20:53.751808,hospital_C,45.27,65.14,124.7,407.2
2025-10-22 06:20:53.751808,hospital_C,49.22,69.74,134.5,414.0
2025-10-22 07:20:53.751808,hospital_C,68.61,97.82,163.9,429.3
2025-10-22 08:20:53.751808,hospital_C,45.28,70.69,124.7,416.8
2025-10-22 09:20:53.751808,hospital_C,60.11,87.56,155.0,416.4
2025-10-22 10:20:53.751808,hospital_C,51.64,74.68,140.6,412.9
2025-10-22 11:20:53.751808,hospital_C,46.55,68.46,127.9,413.6
2025-10-22 12:20:53.751808,hospital_C,38.23,58.48,107.1,412.3
2025-10-22 13:20:53.751808,hospital_C,45.13,66.08,124.3,409.6
2025-10-22 14:20:53.751808,hospital_C,43.68,64.06,120.7,415.1
2025-10-22 15:20:53.751808,hospital_C,42.02,61.85,116.6,412.5
2025-10-22 16:20:53.751808,hospital_C,39.79,59.04,111.0,412.8
2025-10-22 17:20:53.751808,hospital_C,58.86,83.29,153.6,421.0
2025-10-22 18:20:53.751808,hospital_C,51.11,74.27,139.3,415.8
2025-10-22 19:20:53.751808,hospital_C,53.71,77.33,145.8,418.4
2025-10-22 20:20:53.751808,hospital_C,32.63,48.39,94.1,410.8
2025-10-22 21:20:53.751808,hospital_C,36.45,53.0,102.6,410.1
2025-10-22 22:20:53.751808,hospital_C,39.03,56.22,109.1,411.5
2025-10-22 23:20:53.751808,hospital_C,38.75,56.17,108.4,411.3
2025-10-23 00:20:53.751808,hospital_C,50.09,69.58,136.7,416.4
2025-10-23 01:20:53.751808,hospital_C,46.83,66.12,128.6,411.7
2025-10-23 02:20:53.751808,hospital_C,37.12,55.18,104.3,412.4
2025-10-23 03:20:53.751808,hospital_C,48.69,68.79,133.2,417.2
2025-10-23 04:20:53.751808,hospital_C,40.34,59.33,112.3,410.7
2025-10-23 05:20:53.751808,hospital_C,34.45,52.64,98.0,409.0
2025-10-23 06:20:53.751808,hospital_C,50.6,71.35,138.0,412.5
2025-10-23 07:20:53.751808,hospital_C,69.77,99.16,165.1,415.9
2025-10-23 08:20:53.751808,hospital_C,66.41,95.1,161.6,412.4
2025-10-23 09:20:53.751808,hospital_C,63.38,91.34,158.4,406.4
2025-10-23 10:20:53.751808,hospital_C,50.59,73.47,138.0,409.3
2025-10-23 11:20:53.751808,hospital_C,59.74,83.7,154.6,417.9
2025-10-23 12:20:53.751808,hospital_C,52.97,75.5,143.9,418.8
2025-10-23 13:20:53.751808,hospital_C,41.17,61.51,114.4,415.4
2025-10-23 14:20:53.751808,hospital_C,53.95,75.92,146.4,413.9
2025-10-23 15:20:53.751808,hospital_C,54.43,76.19,147.6,411.5
2025-10-23 16:20:53.751808,hospital_C,39.09,58.23,109.2,409.6
2025-10-23 17:20:53.751808,hospital_C,48.21,70.97,132.0,410.4
2025-10-23 18:20:53.751808,hospital_C,63.38,88.45,158.4,415.0
2025-10-23 19:20:53.751808,hospital_C,55.94,79.91,150.6,413.3
2025-10-23 20:20:53.751808,hospital_C,25.93,40.65,79.8,408.4
2025-10-23 21:20:53.751808,hospital_C,26.02,40.94,80.0,407.9
2025-10-23 22:20:53.751808,hospital_C,30.16,45.97,88.8,412.4
2025-10-23 23:20:53.751808,hospital_C,44.99,63.38,124.0,412.7
2025-10-24 00:20:53.751808,hospital_C,48.18,67.37,131.9,411.0
2025-10-24 01:20:53.751808,hospital_C,44.85,63.83,123.6,412.9
2025-10-24 02:20:53.751808,hospital_C,44.13,63.28,121.8,415.3
2025-10-24 03:20:53.751808,hospital_C,47.81,67.78,131.0,413.9
2025-10-24 04:20:53.751808,hospital_C,33.95,51.95,96.9,407.8
2025-10-24 05:20:53.751808,hospital_C,43.67,63.29,120.7,412.3
2025-10-24 06:20:53.751808,hospital_C,37.68,56.42,105.7,415.7
2025-10-24 07:20:53.751808,hospital_C,77.46,108.04,173.2,419.4
2025-10-24 08:20:53.751808,hospital_C,64.2,92.55,159.3,415.3
2025-10-24 09:20:53.751808,hospital_C,54.28,80.82,147.2,414.9
2025-10-24 10:20:53.751808,hospital_C,53.89,77.29,146.2,411.0
2025-10-24 11:20:53.751808,hospital_C,53.26,76.22,144.7,414.0
2025-10-24 12:20:53.751808,hospital_C,35.33,55.13,99.9,408.3
2025-10-24 13:20:53.751808,hospital_C,45.15,66.1,124.4,417.1
2025-10-24 14:20:53.751808,hospital_C,51.16,72.7,139.4,410.2
2025-10-24 15:20:53.751808,hospital_C,49.61,70.61,135.5,409.4
2025-10-24 16:20:53.751808,hospital_C,53.25,74.6,144.6,413.1
2025-10-24 17:20:53.751808,hospital_C,52.03,75.39,141.6,417.9
2025-10-24 18:20:53.751808,hospital_C,41.36,63.0,114.9,408.3
2025-10-24 19:20:53.751808,hospital_C,47.73,70.42,130.8,415.8
2025-10-24 20:20:53.751808,hospital_C,27.76,42.77,83.7,403.6
2025-10-24 21:20:53.751808,hospital_C,34.9,51.2,98.9,411.0
2025-10-24 22:20:53.751808,hospital_C,45.77,64.0,125.9,411.4
2025-10-24 23:20:53.751808,hospital_C,36.95,54.1,103.9,412.8
2025-10-25 00:20:53.751808,hospital_C,24.77,38.57,77.3,407.1
2025-10-25 01:20:53.751808,hospital_C,36.3,52.15,102.2,411.1
2025-10-25 02:20:53.751808,hospital_C,33.51,49.17,96.0,409.7
2025-10-25 03:20:53.751808,hospital_C,24.01,38.39,75.7,406.6
2025-10-25 04:20:53.751808,hospital_C,39.75,56.74,110.9,408.9
2025-10-25 05:20:53.751808,hospital_C,38.05,54.88,106.6,411.6
2025-10-25 06:20:53.751808,hospital_C,36.1,52.65,101.7,410.5
2025-10-25 07:20:53.751808,hospital_C,47.35,70.46,129.9,412.5
2025-10-25 08:20:53.751808,hospital_C,58.58,83.3,153.4,415.8
2025-10-25 09:20:53.751808,hospital_C,48.87,71.85,133.7,414.0
2025-10-25 10:20:53.751808,hospital_C,48.69,69.03,133.2,407.9
2025-10-25 11:20:53.751808,hospital_C,50.48,70.8,137.7,412.8
2025-10-25 12:20:53.751808,hospital_C,44.76,63.88,123.4,415.3
2025-10-25 13:20:53.751808,hospital_C,32.33,49.2,93.4,408.0
2025-10-25 14:20:53.751808,hospital_C,38.15,55.63,106.9,409.0
2025-10-25 15:20:53.751808,hospital_C,50.05,69.13,136.6,411.3
2025-10-25 16:20:53.751808,hospital_C,34.93,51.46,99.0,410.3
2025-10-25 17:20:53.751808,hospital_C,35.96,54.53,101.4,409.3
2025-10-25 18:20:53.751808,hospital_C,47.12,67.38,129.3,412.1
2025-10-25 19:20:53.751808,hospital_C,44.23,64.08,122.1,410.9
2025-10-25 20:20:53.751808,hospital_C,23.62,36.38,74.8,408.0
2025-10-25 21:20:53.751808,hospital_C,41.05,56.68,114.1,411.5
2025-10-25 22:20:53.751808,hospital_C,33.87,48.58,96.7,411.0
