timestamp,location,pm25,pm10,aqi,co2
2025-10-22 02:20:53.751808,hospital_B,24.24,38.58,76.1,405.6
2025-10-22 03:20:53.751808,hospital_B,25.44,40.27,78.7,406.8
2025-10-22 04:20:53.751808,hospital_B,22.66,36.83,72.8,408.1
2025-10-22 05:20:53.751808,hospital_B,28.85,44.83,86.0,408.6
2025-10-22 06:20:53.751808,hospital_B,25.79,40.93,79.5,410.7
2025-10-22 07:20:53.751808,hospital_B,36.81,58.53,103.5,415.7
2025-10-22 08:20:53.751808,hospital_B,38.07,60.03,106.7,406.9
2025-10-22 09:20:53.751808,hospital_B,38.47,60.38,107.7,411.6
2025-10-22 10:20:53.751808,hospital_B,34.2,53.01,97.4,411.1
2025-10-22 11:20:53.751808,hospital_B,27.64,44.41,83.4,406.3
2025-10-22 12:20:53.751808,hospital_B,26.64,42.9,81.3,406.7
2025-10-22 13:20:53.751808,hospital_B,24.39,39.8,76.5,408.5
2025-10-22 14:20:53.751808,hospital_B,33.01,50.62,94.9,410.2
2025-10-22 15:20:53.751808,hospital_B,20.62,34.57,68.4,407.5
2025-10-22 16:20:53.751808,hospital_B,30.05,46.51,88.6,407.8
2025-10-22 17:20:53.751808,hospital_B,28.71,46.14,85.7,408.6
2025-10-22 18:20:53.751808,hospital_B,25.42,41.9,78.7,408.9
2025-10-22 19:20:53.751808,hospital_B,28.77,46.22,85.8,409.3
2025-10-22 20:20:53.751808,hospital_B,17.56,29.05,61.9,405.6
2025-10-22 21:20:53.751808,hospital_B,23.35,36.58,74.2,406.9
2025-10-22 22:20:53.751808,hospital_B,27.2,41.66,82.5,407.6
2025-10-22 23:20:53.751808,hospital_B,22.68,36.04,72.8,408.6
2025-10-23 00:20:53.751808,hospital_B,17.71,29.87,62.2,404.0
2025-10-23 01:20:53.751808,hospital_B,17.93,30.34,62.7,407.9
2025-10-23 02:20:53.751808,hospital_B,21.76,35.42,70.9,410.7
2025-10-23 03:20:53.751808,hospital_B,22.19,36.11,71.8,407.4
2025-10-23 04:20:53.751808,hospital_B,29.65,45.78,87.7,412.3
2025-10-23 05:20:53.751808,hospital_B,31.63,48.38,91.9,411.4
2025-10-23 06:20:53.751808,hospital_B,28.21,44.02,84.6,409.5
2025-10-23 07:20:53.751808,hospital_B,39.43,61.88,110.1,409.8
