timestamp,location,temperature,humidity,wind_speed,pressure,precipitation,rainfall
2025-10-22 02:20:53.751808,hospital_C,14.6,77.1,5.3,1034.19,0,0.0
2025-10-22 03:20:53.751808,hospital_C,24.2,75.0,5.5,1023.56,0,0.0
2025-10-22 04:20:53.751808,hospital_C,22.7,69.4,7.7,1007.49,0,0.0
2025-10-22 05:20:53.751808,hospital_C,26.0,79.1,8.6,1032.9,1,0.95
2025-10-22 06:20:53.751808,hospital_C,29.5,74.7,6.8,1020.99,0,0.0
2025-10-22 07:20:53.751808,hospital_C,31.2,61.0,8.3,980.0,0,0.0
2025-10-22 08:20:53.751808,hospital_C,32.1,49.6,8.9,1020.39,0,0.0
2025-10-22 09:20:53.751808,hospital_C,28.4,61.3,10.5,1023.77,0,0.0
2025-10-22 10:20:53.751808,hospital_C,31.6,61.5,11.8,982.18,0,0.0
2025-10-22 11:20:53.751808,hospital_C,31.4,64.1,12.1,997.79,0,0.0
2025-10-22 12:20:53.751808,hospital_C,33.1,40.8,10.8,1011.51,0,0.0
2025-10-22 13:20:53.751808,hospital_C,30.6,58.2,11.8,1023.56,1,6.89
2025-10-22 14:20:53.751808,hospital_C,30.7,39.2,11.1,1029.17,0,0.0
2025-10-22 15:20:53.751808,hospital_C,25.1,47.8,13.9,1007.87,0,0.0
2025-10-22 16:20:53.751808,hospital_C,23.7,52.6,20.5,1039.35,0,0.0
2025-10-22 17:20:53.751808,hospital_C,20.2,53.8,13.5,1013.75,0,0.0
2025-10-22 18:20:53.751808,hospital_C,22.5,60.6,12.3,1026.2,0,0.0
2025-10-22 19:20:53.751808,hospital_C,19.8,56.7,8.4,1014.23,0,0.0
2025-10-22 20:20:53.751808,hospital_C,15.0,74.9,10.6,1002.25,0,0.0
2025-10-22 21:20:53.751808,hospital_C,11.1,74.2,15.1,1007.58,0,0.0
2025-10-22 22:20:53.751808,hospital_C,16.8,66.0,2.7,996.95,0,0.0
2025-10-22 23:20:53.751808,hospital_C,15.9,54.7,7.4,1050.0,0,0.0
2025-10-23 00:20:53.751808,hospital_C,12.1,67.9,12.9,1029.43,0,0.0
2025-10-23 01:20:53.751808,hospital_C,16.8,69.2,6.1,1032.55,0,0.0
2025-10-23 02:20:53.751808,hospital_C,19.0,80.9,6.4,1001.63,1,0.79
2025-10-23 03:20:53.751808,hospital_C,20.4,77.0,6.1,1002.83,0,0.0
2025-10-23 04:20:53.751808,hospital_C,23.1,77.5,2.2,991.18,0,0.0
2025-10-23 05:20:53.751808,hospital_C,28.3,80.0,10.9,1027.29,1,7.69
2025-10-23 06:20:53.751808,hospital_C,29.2,76.4,8.7,1007.0,0,0.0
2025-10-23 07:20:53.751808,hospital_C,31.9,67.2,7.8,1022.98,0,0.0
2025-10-23 08:20:53.751808,hospital_C,33.5,57.0,8.0,1001.06,0,0.0
2025-10-23 09:20:53.751808,hospital_C,33.8,63.9,7.6,1003.4,1,1.0
2025-10-23 10:20:53.751808,hospital_C,35.1,56.8,13.5,1000.74,0,0.0
2025-10-23 11:20:53.751808,hospital_C,34.0,55.6,12.5,1023.86,0,0.0
2025-10-23 12:20:53.751808,hospital_C,34.9,43.0,9.8,1012.24,0,0.0
2025-10-23 13:20:53.751808,hospital_C,33.8,45.4,12.8,1012.91,0,0.0
2025-10-23 14:20:53.751808,hospital_C,32.3,47.7,16.7,997.4,0,0.0
2025-10-23 15:20:53.751808,hospital_C,25.8,60.6,12.9,1026.19,0,0.0
2025-10-23 16:20:53.751808,hospital_C,22.1,48.1,13.4,1006.97,0,0.0
2025-10-23 17:20:53.751808,hospital_C,22.8,58.9,9.6,1001.72,0,0.0
2025-10-23 18:20:53.751808,hospital_C,17.4,67.0,14.4,980.0,0,0.0
2025-10-23 19:20:53.751808,hospital_C,18.6,67.2,7.9,1011.85,0,0.0
2025-10-23 20:20:53.751808,hospital_C,13.8,63.3,8.7,984.05,0,0.0
