timestamp,location,temperature,humidity,wind_speed,pressure,precipitation,rainfall
2025-10-22 02:20:53.751808,hospital_B,7.8,91.5,9.5,1003.68,1,0.91
2025-10-22 03:20:53.751808,hospital_B,16.0,92.6,17.8,994.91,1,0.23
2025-10-22 04:20:53.751808,hospital_B,13.5,80.8,9.9,999.48,0,0.0
2025-10-22 05:20:53.751808,hospital_B,17.6,91.1,11.7,1028.24,0,0.0
2025-10-22 06:20:53.751808,hospital_B,18.8,90.3,9.1,1028.36,0,0.0
2025-10-22 07:20:53.751808,hospital_B,17.0,72.7,10.6,1007.76,0,0.0
2025-10-22 08:20:53.751808,hospital_B,22.6,67.7,14.3,1001.39,0,0.0
2025-10-22 09:20:53.751808,hospital_B,17.5,61.8,13.7,1016.06,0,0.0
2025-10-22 10:20:53.751808,hospital_B,20.7,72.3,16.5,1008.99,0,0.0
2025-10-22 11:20:53.751808,hospital_B,20.2,77.0,19.6,991.34,0,0.0
2025-10-22 12:20:53.751808,hospital_B,22.3,53.1,17.0,1024.71,0,0.0
2025-10-22 13:20:53.751808,hospital_B,15.9,57.9,19.8,1014.39,0,0.0
2025-10-22 14:20:53.751808,hospital_B,17.2,61.7,18.5,1018.8,0,0.0
2025-10-22 15:20:53.751808,hospital_B,11.9,57.3,19.4,1002.32,1,0.71
2025-10-22 16:20:53.751808,hospital_B,15.3,58.4,18.4,1024.01,0,0.0
2025-10-22 17:20:53.751808,hospital_B,12.6,75.5,20.8,1000.87,0,0.0
2025-10-22 18:20:53.751808,hospital_B,8.1,81.1,26.2,1013.38,0,0.0
2025-10-22 19:20:53.751808,hospital_B,8.4,71.2,13.1,1017.94,1,7.61
2025-10-22 20:20:53.751808,hospital_B,10.5,67.5,14.2,1022.11,0,0.0
2025-10-22 21:20:53.751808,hospital_B,9.2,72.3,13.2,1002.42,0,0.0
2025-10-22 22:20:53.751808,hospital_B,5.0,80.6,11.8,1014.34,1,3.16
2025-10-22 23:20:53.751808,hospital_B,9.9,73.6,8.6,1007.35,0,0.0
2025-10-23 00:20:53.751808,hospital_B,5.5,77.3,12.3,1040.35,0,0.0
2025-10-23 01:20:53.751808,hospital_B,11.7,72.4,13.6,1025.84,0,0.0
2025-10-23 02:20:53.751808,hospital_B,11.3,93.0,9.1,1034.35,0,0.0
